Time,Mean Value
2005.337,5.94721596
2005.364,6.03183166
2005.391,6.11644737
2005.418,6.20106308
2005.446,6.2888127
2005.473,6.3734284
2005.500,6.45804411
2005.527,6.54265982
2005.554,6.62727552
2005.582,6.71502514
2005.609,6.79964085
2005.636,6.88425656
2005.663,6.96887226
2005.690,7.05348797
2005.712,7.1224341
2005.749,7.23838896
2005.772,7.310469
2005.799,7.39508471
2005.826,7.47970042
2005.853,7.56431612
2005.880,7.64893183
2005.908,7.73668145
2005.935,7.82129716
2005.962,7.90591286
2005.989,7.99052857
2006.016,8.07514427
2006.043,8.15975998
2006.070,8.24437569
2006.098,8.33212531
2006.125,8.41674101
2006.152,8.50135672
2006.179,8.58597243
2006.206,8.67058813
2006.233,8.75520384
2006.261,8.84295346
2006.288,8.92756917
2006.315,9.01218487
2006.342,9.09680058
2006.369,9.18141629
2006.396,9.26603199
2006.424,9.35378161
2006.451,9.43839732
2006.478,9.52301303
2006.505,9.60762873
2006.532,9.69224444
2006.559,9.77686014
2006.587,9.86460977
2006.614,9.94922547
2006.641,10.03384118
2006.668,10.11845688
2006.695,10.20307259
2006.722,10.2876883
2006.750,10.37543792
2006.777,10.46005362
2006.804,10.54466933
2006.823,10.60421372
2006.889,10.81105211
2006.913,10.88626607
2006.939,10.96774786
2006.967,11.05549748
2006.994,11.14011319
2007.021,11.2247289
2007.048,11.3093446
2007.076,11.39709422
2007.103,11.48170993
2007.130,11.56632564
2007.157,11.65094134
2007.184,11.73555705
2007.211,11.82017275
2007.239,11.90792238
2007.265,11.98940417
2007.293,12.07715379
2007.320,12.16176949
2007.347,12.2463852
2007.374,12.33100091
2007.402,12.41875053
2007.429,12.50336623
2007.456,12.58798194
2007.483,12.67259765
2007.510,12.75721335
2007.537,12.84182906
2007.565,12.92957868
2007.592,13.01419439
2007.619,13.09881009
2007.646,13.1834258
2007.673,13.26804151
2007.700,13.35265721
2007.728,13.44040683
2007.755,13.52502254
2007.782,13.60963825
2007.809,13.69425395
2007.836,13.77886966
2007.863,13.86348536
2007.891,13.95123499
2007.918,14.03585069
2007.945,14.1204664
2007.972,14.2050821
2007.999,14.28969781
2008.026,14.37431352
2008.053,14.45892922
2008.080,14.54354493
2008.108,14.63129455
2008.135,14.71591026
2008.162,14.80052596
2008.189,14.88514167
2008.216,14.96975738
2008.243,15.05437308
2008.270,15.13898879
2008.297,15.22360449
2008.324,15.3082202
2008.345,15.37403242
2008.379,15.48058553
2008.406,15.56520123
2008.433,15.64981694
2008.460,15.73443265
2008.487,15.81904835
2008.514,15.90366406
2008.541,15.98827977
2008.568,16.07289547
2008.595,16.15751118
2008.622,16.24212688
2008.649,16.32674259
2008.677,16.41449221
2008.704,16.49910792
2008.731,16.58372362
2008.758,16.66833933
2008.785,16.75295504
2008.812,16.83757074
2008.839,16.92218645
2008.866,17.00680216
2008.893,17.09141786
2008.920,17.17603357
2008.947,17.26064927
2008.975,17.3483989
2009.002,17.4330146
2009.029,17.51763031
2009.056,17.60224601
2009.083,17.68686172
2009.110,17.77147743
2009.137,17.85609313
2009.165,17.94384275
2009.192,18.02845846
2009.219,18.11307417
2009.246,18.19768987
2009.273,18.28230558
2009.300,18.36692129
2009.328,18.45467091
2009.355,18.53928661
2009.382,18.62390232
2009.409,18.70851803
2009.436,18.79313373
2009.463,18.87774944
2009.491,18.96549906
2009.518,19.05011477
2009.545,19.13473047
2009.572,19.21934618
2009.599,19.30396188
2009.626,19.38857759
2009.654,19.47632721
2009.681,19.56094292
2009.708,19.64555862
2009.735,19.73017433
2009.762,19.81479004
2009.789,19.89940574
2009.817,19.98715536
2009.844,20.07177107
2009.871,20.15638678
2009.898,20.24100248
2009.925,20.32561819
2009.952,20.4102339
2009.980,20.49798352
2010.007,20.58259922
2010.034,20.66721493
2010.061,20.75183064
2010.088,20.83644634
2010.115,20.92106205
2010.143,21.00881167
2010.170,21.09342738
2010.197,21.17804308
2010.224,21.26265879
2010.251,21.34727449
2010.278,21.4318902
2010.306,21.51963982
2010.333,21.60425553
2010.360,21.68887123
2010.387,21.77348694
2010.414,21.85810265
2010.441,21.94271835
2010.469,22.03046797
2010.496,22.11508368
2010.523,22.19969939
2010.550,22.28431509
2010.577,22.3689308
2010.604,22.45354651
2010.632,22.54129613
2010.659,22.62591183
2010.686,22.71052754
2010.713,22.79514325
2010.740,22.87975895
2010.767,22.96437466
2010.795,23.05212428
2010.822,23.13673999
2010.849,23.22135569
2010.876,23.3059714
2010.903,23.3905871
2010.930,23.47520281
2010.958,23.56295243
2010.985,23.64756814
2011.012,23.73218384
2011.039,23.81679955
2011.066,23.90141526
2011.093,23.98603096
2011.121,24.07378058
2011.148,24.15839629
2011.175,24.243012
2011.202,24.3276277
2011.229,24.41224341
2011.256,24.49685912
2011.284,24.58460874
2011.311,24.66922444
2011.338,24.75384015
2011.365,24.83845586
2011.392,24.92307156
2011.419,25.00768727
2011.447,25.09543689
2011.474,25.1800526
2011.501,25.2646683
2011.528,25.34928401
2011.555,25.43389971
2011.582,25.51851542
2011.610,25.60626504
2011.637,25.69088075
2011.664,25.77549645
2011.691,25.86011216
2011.718,25.94472787
2011.745,26.02934357
2011.773,26.11709319
2011.800,26.2017089
2011.827,26.28632461
2011.854,26.37094031
2011.881,26.45555602
2011.908,26.54017173
2011.936,26.62792135
2011.963,26.71253705
2011.990,26.79715276
2012.017,26.88176847
2012.044,26.96638417
2012.071,27.05099988
2012.098,27.13561558
2012.125,27.22023129
2012.153,27.30798091
2012.180,27.39259662
2012.207,27.47721232
2012.234,27.56182803
2012.261,27.64644374
2012.288,27.73105944
2012.315,27.81567515
2012.342,27.90029086
2012.369,27.98490656
2012.396,28.06952227
2012.423,28.15413797
2012.451,28.2418876
2012.478,28.3265033
2012.505,28.41111901
2012.532,28.49573471
2012.559,28.58035042
2012.586,28.66496613
2012.613,28.74958183
2012.640,28.83419754
2012.667,28.91881325
2012.694,29.00342895
2012.721,29.08804466
2012.748,29.17266036
2012.776,29.26040999
2012.803,29.34502569
2012.830,29.4296414
2012.857,29.5142571
2012.884,29.59887281
2012.911,29.68348852
2012.938,29.76810422
2012.965,29.85271993
2012.992,29.93733564
2013.019,30.02195134
2013.047,30.10970096
2013.074,30.19431667
2013.101,30.27893238
2013.128,30.36354808
2013.155,30.44816379
2013.182,30.53277949
2013.210,30.62052912
2013.232,30.68947525
2013.269,30.8054301
2013.291,30.87437623
2013.318,30.95899194
2013.345,31.04360765
2013.373,31.13135727
2013.400,31.21597297
2013.427,31.30058868
2013.454,31.38520439
2013.481,31.46982009
2013.508,31.5544358
2013.536,31.64218542
2013.563,31.72680113
2013.590,31.81141683
2013.617,31.89603254
2013.644,31.98064825
2013.668,32.05586221
2013.705,32.17181706
2013.726,32.23762928
2013.753,32.32224499
2013.780,32.40686069
2013.807,32.4914764
2013.834,32.5760921
2013.862,32.66384173
2013.889,32.74845743
2013.916,32.83307314
2013.943,32.91768884
2013.970,33.00230455
2013.997,33.08692026
2014.025,33.17466988
2014.052,33.25928558
2014.079,33.34390129
